ContentKey,en-US,en-GB,fr-FR
app_title,AspNetCoreSpa,AspNetCoreSpa,fr-AspNetCoreSpa
app_description,Single page application using aspnet core and angular,Single page application using aspnet core and angular,fr-Single page application using aspnet core and angular
app_repo_url,https://github.com/asadsahi/aspnetcorespa,https://github.com/asadsahi/aspnetcorespa,https://github.com/asadsahi/aspnetcorespa
app_nav_home,Home,Home,fr-Home
app_nav_examples,Examples,Examples,fr-Examples
app_nav_register,Register,Register,fr-Register
app_nav_login,Login,Login,fr-Login
app_nav_logout,Logout,Logout,fr-Logout
app_login_btn,Login,Login,fr-Login
app_registry_btn,Register,Register,fr-Register
app_email,Email,Email,fr-Email
app_password,Password,Password,fr-Password
app_username,Username,Username,fr-Username
app_firstname,Firstname,Firstname,fr-Firstname
app_lastname,Lastname,Lastname,fr-Lastname
app_mobile,Mobile,Mobile,fr-Mobile
app_forget_password,Forget password? click here,Forget password? click here,fr-Forget password? click here
